Time,ZebraCount,LionCount
0,20,0
1000,38,0
2000,28,0
3000,33,0
4000,34,0
5000,35,0
6000,34,0
7000,35,0
8000,33,0
9000,35,0
10000,26,0
11000,27,0
12000,28,0
13000,32,0
14000,28,0
15000,28,0
16000,28,0
17000,26,0
18000,27,0
19000,29,0
20000,29,0
21000,26,0
22000,22,0
23000,21,0
24000,22,0
25000,21,0
26000,19,0
27000,19,0
28000,17,0
29000,18,0
30000,22,0
31000,21,0
32000,16,0
33000,15,0
34000,15,0
35000,16,0
36000,15,0
37000,14,0
38000,12,0
39000,12,0
40000,13,0
41000,14,0
42000,15,0
43000,14,0
44000,14,0
45000,16,0
46000,16,0
47000,14,0
48000,12,0
49000,14,0
50000,11,0
51000,10,0
52000,12,0
53000,11,0
54000,12,0
55000,11,0
56000,12,0
57000,9,0
58000,12,0
59000,16,0
60000,13,0
61000,10,0
62000,12,0
63000,14,0
64000,14,0
65000,14,0
66000,16,0
67000,12,0
68000,11,0
69000,14,0
70000,11,0
71000,13,0
72000,12,0
73000,14,0
74000,14,0
75000,14,0
76000,14,0
77000,15,0
78000,13,0
79000,12,0
80000,10,0
81000,11,0
82000,13,0
83000,14,0
84000,13,0
85000,13,0
86000,15,0
87000,14,0
88000,13,0
89000,12,0
90000,12,0
91000,13,0
92000,14,0
93000,14,0
94000,14,0
95000,13,0
96000,12,0
97000,15,0
98000,16,0
99000,17,0
100000,19,0
101000,22,0
102000,20,0
103000,20,0
104000,21,0
105000,22,0
106000,20,0
107000,22,0
108000,24,0
109000,23,0
110000,23,0
111000,25,0
112000,24,0
113000,22,0
114000,22,0
115000,21,0
116000,23,0
117000,24,0
118000,25,0
119000,26,0
120000,28,0
121000,29,0
122000,29,0
123000,27,0
124000,31,0
125000,33,0
126000,32,0
127000,30,0
128000,31,0
129000,29,0
130000,26,0
131000,26,0
132000,26,0
133000,24,0
134000,23,0
135000,23,0
136000,25,0
137000,26,0
138000,25,0
139000,23,0
140000,22,0
141000,22,0
142000,22,0
143000,22,0
144000,23,0
145000,23,0
146000,22,0
147000,23,0
148000,22,0
149000,22,0
150000,19,0
151000,19,0
152000,18,0
153000,17,0
154000,18,0
155000,18,0
156000,18,0
157000,18,0
158000,18,0
159000,19,0
160000,19,0
161000,19,0
162000,21,0
163000,22,0
164000,20,0
165000,19,0
166000,19,0
167000,18,0
168000,21,0
169000,23,0
170000,27,0
171000,31,0
172000,31,0
173000,29,0
174000,28,0
175000,27,0
176000,30,0
177000,33,0
178000,32,0
179000,33,0
180000,30,0
181000,31,0
182000,30,0
183000,31,0
184000,28,0
185000,28,0
186000,26,0
187000,27,0
188000,29,0
189000,28,0
190000,28,0
191000,26,0
192000,27,0
193000,29,0
194000,33,0
195000,34,0
196000,34,0
197000,33,0
198000,35,0
199000,34,0
200000,31,0
201000,26,0
202000,28,0
203000,29,0
204000,29,0
205000,29,0
206000,26,0
207000,27,0
208000,26,0
209000,27,0
210000,26,0
211000,25,0
212000,28,0
213000,29,0
214000,30,0
215000,28,0
216000,30,0
217000,29,0
218000,29,0
219000,34,0
220000,35,0
221000,33,0
222000,35,0
223000,32,0
224000,32,0
225000,30,0
226000,29,0
227000,28,0
228000,33,0
229000,33,0
230000,31,0
231000,30,0
232000,29,0
233000,30,0
234000,32,0
235000,32,0
236000,29,0
237000,30,0
238000,30,0
239000,35,0
240000,35,0
241000,38,0
242000,39,0
243000,37,0
244000,40,0
245000,37,0
246000,37,0
247000,35,0
248000,35,0
249000,33,0
250000,38,0
251000,40,0
252000,44,0
253000,43,0
254000,45,0
255000,43,0
256000,45,0
257000,36,0
258000,34,0
