Generation,StartingEnergy,Speed,DetectRange,BreedEnergy,BabyEnergy,AttentionSpan,Desirability,DesirabilityThreshold,Age
1,16.209993,0.14540745,20.989454,145.0,47.312893,500.0,13.0062895,7.955832,217
2,12.877711,0.25959596,31.016409,66.72787,5.705342,500.0,36.864937,3.0956266,306
2,12.877711,0.31145006,28.374886,72.24381,6.3758535,500.0,36.934147,3.5467916,306
2,12.877711,0.27071008,28.339746,71.58358,7.1410537,500.0,37.29036,3.3954263,439
2,34.986416,0.2345245,41.825127,81.7468,17.77144,500.0,39.255386,2.0531578,734
1,51.94516,0.1409866,33.951633,136.0,23.910458,500.0,52.810966,8.157144,1226
1,117.84621,0.023484182,30.810452,73.0,14.398177,500.0,68.46144,3.335938,1513
2,32.690475,0.36115792,37.26831,79.783295,14.985647,500.0,30.608448,2.2167752,1503
1,138.56084,0.27800706,88.56401,121.0,43.87953,500.0,29.345036,7.44441,2463
2,32.690475,0.34464958,39.84488,76.43637,14.503278,500.0,35.43578,2.813551,2303
2,44.655003,0.2887285,65.66213,87.44311,19.610989,500.0,22.361797,4.5644336,2596
1,78.91166,0.28417662,74.48708,127.0,1.5290197,500.0,16.04444,2.652595,2653
2,32.690475,0.36601365,37.219547,73.91858,18.260593,500.0,30.241154,2.0925088,2970
1,178.56514,0.28943434,32.631596,72.0,12.10224,500.0,45.756607,4.202664,3652
1,142.51096,0.282633,28.512081,76.0,0.7754715,500.0,20.410652,2.067653,4126
1,167.55217,0.1506009,33.099808,143.0,16.132618,500.0,89.46954,1.2972662,4235
2,32.690475,0.41116726,37.662075,75.94504,14.372787,500.0,31.748981,2.2161658,6970
3,24.19181,0.45403418,46.36017,111.51466,12.501687,500.0,39.914574,1.4194154,1656
3,19.007532,0.46580777,38.147236,111.2847,10.010913,500.0,47.899723,1.9894685,4921
3,32.450977,0.4293019,45.94409,110.86731,16.255363,500.0,24.228472,0.96739787,967
4,22.762321,0.4504492,38.00753,110.833755,10.459434,500.0,42.444656,1.7768209,837
1,31.648413,0.46111122,40.159027,134.0,6.678461,500.0,53.816193,2.084668,11933
4,20.056232,0.45405644,47.932743,127.41279,9.448608,500.0,47.494385,1.978991,801
4,22.762321,0.44553638,40.812023,105.34259,12.136323,500.0,43.41685,1.6642593,2171
3,24.19181,0.47133893,46.4941,102.669525,12.04162,500.0,39.77364,1.4691243,4190
4,27.668388,0.44616815,49.241722,111.742256,12.662812,500.0,29.656063,1.2879198,2236
2,27.266699,0.474581,43.561146,119.34317,13.8337145,500.0,34.348114,1.444752,14447
4,25.374975,0.47384503,39.373173,124.81347,13.865386,500.0,41.515533,1.483864,3139
3,19.007532,0.46347183,44.475113,109.7725,9.622981,500.0,46.469173,1.996044,13864
4,26.7303,0.5388722,41.55823,123.29324,12.30372,500.0,42.374825,1.3884345,4224
3,24.19181,0.44478002,44.493553,111.739334,11.692588,500.0,38.03577,1.5091966,7923
5,34.062454,0.44963932,49.374725,94.15488,17.061123,500.0,30.067606,1.1713939,2855
3,35.52996,0.4720293,45.69969,106.04594,15.805651,500.0,23.032867,1.1429298,11597
4,26.7303,0.44213858,46.717533,113.459145,14.709769,500.0,40.014153,1.4679823,7823
3,32.91731,0.4452407,44.13598,106.58641,15.302459,500.0,24.877058,1.1803154,16573
3,19.007532,0.48106107,42.634827,126.17153,10.433251,500.0,48.788715,1.8130248,17142
4,27.166397,0.46204504,50.19409,106.12956,14.202118,500.0,36.14067,1.1392889,496
2,27.266699,0.4460005,46.96932,113.634415,11.862739,500.0,38.684402,1.2314516,22191
4,25.920029,0.45113468,49.476006,113.87352,13.950947,500.0,38.100136,1.3803489,12213
5,33.497536,0.49955902,47.647392,91.122765,15.296995,500.0,24.950615,0.8567139,1380
5,39.70897,0.48214304,44.759903,100.80012,18.896034,500.0,17.845404,0.8944797,11730
6,26.505928,0.53452265,43.00821,117.17796,12.205942,500.0,32.13167,1.1664006,1154
2,27.266699,0.4866414,41.901222,101.72307,12.329071,500.0,37.44388,1.503699,30588
6,26.884838,0.48337883,41.477512,107.082,12.91493,500.0,34.80492,1.0841862,1026
6,32.31254,0.49771115,42.256165,102.32745,15.258338,500.0,26.693869,0.96081024,3765
2,27.266699,0.42196178,44.834698,102.72446,14.941724,500.0,33.152763,1.4217085,30368
6,26.70475,0.47933203,43.766968,105.88328,14.743296,500.0,28.323881,1.1232151,5290
4,26.7303,0.4642403,47.20701,123.17084,13.68113,500.0,39.00015,1.3154086,21291
6,31.850891,0.49115282,46.708157,107.37571,17.106386,500.0,26.241516,1.0738437,4025
6,34.95613,0.47667938,51.411404,96.816986,17.694323,500.0,24.549738,0.84446347,3933
6,34.29641,0.52075285,43.977795,100.50327,18.026365,500.0,22.357191,0.8962905,458
7,34.575867,0.4854464,48.010426,100.431145,15.935231,500.0,26.496777,0.9436493,1795
3,26.804462,0.4726616,43.709106,110.196396,13.420833,500.0,36.73492,1.4572555,30892
6,33.503494,0.49896404,49.126728,98.79076,16.64863,500.0,23.593998,0.923304,4047
4,31.457586,0.48355538,46.585033,91.52734,14.915123,500.0,26.782894,1.064819,1753
7,36.28592,0.4821558,43.681084,96.94068,19.583279,500.0,23.660295,0.97553355,751
7,30.440067,0.47878444,47.22642,104.99905,15.002623,500.0,28.034588,1.0900886,806
5,35.417778,0.49242687,46.417313,97.41609,16.303007,500.0,26.026728,0.8439997,15905
6,34.506607,0.49927,44.09706,113.99728,16.831343,500.0,30.212269,1.0384053,727
7,32.21417,0.4862193,44.72484,99.895935,17.66146,500.0,31.324495,1.0479969,3363
7,34.575867,0.45119232,46.505253,105.34139,16.775156,500.0,27.712112,0.97889495,5261
7,33.9312,0.48023048,50.26352,101.16517,16.597006,500.0,22.104467,1.0186833,2320
6,33.246082,0.45206025,50.810265,101.23198,18.308462,500.0,23.736122,1.130607,9244
6,33.215973,0.48478618,44.361286,93.33343,18.068304,500.0,22.955631,0.9796136,15243
5,35.417778,0.50984424,44.48194,106.79973,16.01549,500.0,26.764242,0.9692151,30606
8,35.293026,0.55237687,46.584454,109.487625,18.79313,500.0,28.42888,1.198239,2604
7,36.28592,0.52940214,43.891827,87.03751,18.768076,500.0,21.546036,0.86927736,7018
9,35.337765,0.48214698,48.31352,88.63789,16.996084,500.0,25.701708,0.93241066,3005
6,32.13245,0.4916445,50.92745,108.88929,16.987413,500.0,25.613365,0.9708024,4029
8,35.9308,0.51720023,46.024403,110.77163,16.978262,500.0,27.409824,0.9866068,5546
7,33.77294,0.50368994,47.09372,101.094315,18.048452,500.0,27.977793,0.8415413,9170
6,33.03589,0.46940115,50.633343,103.55505,17.006931,500.0,25.217926,0.9138572,14881
5,33.497536,0.48380598,49.01411,100.97359,17.095926,500.0,26.693861,0.8694261,25231
7,37.0012,0.4895915,53.414497,108.51102,18.884426,500.0,19.279707,0.76991725,4494
3,24.19181,0.49574602,46.101364,111.037445,10.869349,500.0,38.831947,1.2778198,46342
9,31.853615,0.4900963,44.849766,99.531204,16.540154,500.0,25.161762,1.0593638,1759
7,34.17669,0.56018674,44.042397,119.8165,17.882347,500.0,28.856161,1.056951,16141
9,32.53263,0.5230236,50.80986,107.169075,15.576836,500.0,29.867136,1.0309104,2301
7,25.672836,0.5154577,44.43062,114.47198,13.536484,500.0,39.94141,1.0842667,16743
6,32.13245,0.5140691,48.15941,104.17364,16.162975,500.0,24.970621,0.9192165,9762
8,31.862709,0.53012526,47.652122,111.250824,14.64391,500.0,29.118008,1.1683637,1092
8,30.088608,0.5267813,47.237053,106.532936,13.925417,500.0,30.393288,0.9998843,1468
7,33.063057,0.48480543,47.790882,103.369286,15.602522,500.0,28.002184,1.0109206,1375
4,36.885284,0.48854703,46.79744,92.81867,19.12073,500.0,22.578236,0.8766092,48610
4,36.885284,0.4860221,47.342606,95.499016,17.200485,500.0,22.735981,0.91107446,37421
9,34.51992,0.5138432,44.31762,104.79247,16.43543,500.0,33.544773,1.1756471,1127
8,30.088608,0.5029049,44.183807,112.08811,13.614306,500.0,29.583122,1.1762062,2002
7,30.546225,0.5797332,46.131744,97.04641,16.629572,500.0,26.09966,0.9819483,541
10,33.35634,0.5613119,52.755337,118.53275,17.704609,500.0,31.35484,1.2196962,845
7,32.907925,0.52533555,50.66698,103.40581,16.843155,500.0,25.272108,0.9190317,5773
9,32.514084,0.47448033,50.717567,110.83977,17.374886,500.0,25.108307,1.0468369,8967
7,31.379314,0.5780808,48.062656,100.38611,16.085468,500.0,23.69786,1.1064448,4019
10,31.492771,0.57650656,49.03514,109.15572,15.067812,500.0,31.002775,0.9714529,5087
6,35.423737,0.5116435,49.860886,93.138725,17.165188,500.0,21.805134,0.930646,29156
10,33.33779,0.5312641,50.91486,102.57741,16.625816,500.0,30.979393,1.103485,712
8,31.617218,0.5372429,47.32824,102.90186,17.402887,500.0,29.651413,0.8849531,3755
9,31.236515,0.5369073,54.770332,94.22491,15.993217,500.0,24.1963,1.121569,7217
5,29.990078,0.5340654,46.988575,110.14598,15.636579,500.0,27.79773,1.0975744,37058
1,199.47253,0.47023174,51.252865,93.0,20.588238,500.0,17.117142,0.76683617,66379
8,31.862709,0.47465464,49.002018,106.45063,16.81429,500.0,31.172419,1.060495,11625
4,31.021488,0.48815766,46.524395,110.39921,17.410679,500.0,28.596235,1.1639758,52761
11,31.328331,0.5753984,46.27746,102.12917,15.020113,500.0,33.785625,1.0658991,2018
9,31.644897,0.51634306,46.268147,87.46781,17.08276,500.0,30.731876,0.94183743,2156
