Generation,StartingEnergy,Speed,DetectRange,BreedEnergy,BabyEnergy,AttentionSpan,Desirability,DesirabilityThreshold,Lifespan,Age
1,46.74634,0.12845333,27.406874,26.0,17.136211,500.0,50.124622,9.556452,6240,530
1,57.614964,0.3293354,9.993428,42.0,30.265213,500.0,21.343943,5.358843,6272,766
2,68.57078,0.24047413,31.489994,50.51039,31.842722,500.0,45.123524,3.7796125,5728,758
2,55.441776,0.13233185,41.860012,54.292915,30.950447,500.0,72.693794,6.0373645,5307,874
2,5.352088,0.2605633,49.610027,10.691783,2.6510453,500.0,5.2855873,7.6845903,7109,73
2,31.885527,0.34992445,50.73191,47.10236,13.685878,500.0,20.828264,3.56665,13001,960
2,5.352088,0.30871728,49.428436,9.305144,2.894231,500.0,4.352246,7.030167,7894,73
2,70.79674,0.24906383,28.56127,102.194466,36.126125,500.0,47.237095,6.1358533,10049,1079
2,13.139967,0.3780183,57.010147,76.6289,6.2781243,500.0,61.482265,4.027451,11072,1243
2,5.352088,0.28530958,54.167286,11.313414,2.9160156,500.0,4.3126497,7.8315363,7617,73
2,5.352088,0.28283715,59.132607,8.318746,2.3568242,500.0,4.2088213,7.95053,6880,73
2,5.352088,0.2709206,50.427444,11.469927,2.5276065,500.0,5.363511,6.6802425,7302,73
2,5.352088,0.24932843,57.71415,9.464674,2.8584487,500.0,4.8846803,7.2231536,6934,73
1,197.33241,0.113162786,50.621353,71.0,38.305565,500.0,79.72332,1.1371523,5000,1767
1,111.24776,0.19664204,39.658497,2.0,2.0,500.0,1.3252338,4.6713467,8672,1992
2,13.139967,0.37292573,56.607258,70.56075,6.183918,500.0,59.584145,4.2200522,9823,177
2,13.139967,0.3505638,56.727043,59.269333,6.1449428,500.0,59.574024,4.8433237,10095,2310
1,94.338135,0.344106,54.98637,8.0,8.0,500.0,28.947529,1.8873699,16050,2593
2,8.492055,0.4294497,70.56964,82.91788,4.6772437,500.0,56.06929,8.2740555,5127,115
1,194.93387,0.36762422,13.311884,146.0,32.491173,500.0,14.127299,9.584152,17761,3334
3,64.33389,0.33098269,24.016603,111.38298,30.429482,500.0,25.463804,6.780698,11111,3259
1,145.10573,0.3642942,69.24418,18.0,3.3520882,500.0,8.106986,9.471609,6612,3712
1,52.321888,0.41098124,99.75277,106.0,12.5563755,500.0,7.001881,6.1731,13079,4966
3,17.73636,0.41298845,57.718586,63.320995,8.033948,500.0,36.93942,5.3974013,8599,371
1,112.28148,0.43285576,39.625896,75.0,23.885527,500.0,14.959952,5.6452484,7023,5825
2,27.237616,0.3672635,57.517307,48.442654,11.909419,500.0,12.307237,8.004127,7245,4486
3,10.966908,0.4465119,55.753876,91.31705,5.987904,500.0,83.286,5.0841765,6467,414
3,10.966908,0.39870992,54.135834,112.26217,5.7975183,500.0,72.05324,5.609551,6712,548
4,21.85534,0.38889694,60.17386,99.95842,11.179914,500.0,62.058254,5.6574187,6114,293
3,18.370111,0.44601557,57.303017,108.48238,9.752531,500.0,75.23705,6.5687137,4854,1180
3,18.370111,0.48592728,55.77056,112.600296,8.014709,500.0,71.58268,6.5829525,5214,1180
3,25.139565,0.38767767,50.91318,83.70073,13.385909,500.0,40.29043,6.6367507,6190,10737
5,13.503707,0.43830195,56.274746,129.39311,6.7333493,500.0,95.511444,7.4849634,4720,182
5,18.204731,0.4346807,55.651367,104.56096,8.483233,500.0,71.88025,7.4289365,5275,244
5,18.131983,0.41577274,63.347458,109.94891,9.856294,500.0,73.973595,8.15946,4437,243
5,16.077759,0.50986767,64.695786,96.5756,7.4379916,500.0,75.361244,7.4678507,5224,216
5,19.545837,0.45641246,53.93869,118.04966,10.795554,500.0,88.428215,6.1778,4949,262
4,21.85534,0.4542567,51.585136,107.23742,9.962006,500.0,53.51028,6.343253,5780,6826
5,18.697422,0.4194334,62.12278,124.94606,9.852503,500.0,88.38149,7.4403133,4847,1584
4,22.111004,0.4922095,52.81209,104.40739,12.368235,500.0,64.499214,6.9424086,5172,296
2,13.139967,0.38699847,54.88554,70.042175,5.8269415,500.0,54.403954,4.2595162,10578,17999
5,16.092327,0.49402365,63.154987,102.85674,7.99601,500.0,80.510925,7.079343,5269,216
