Generation,StartingEnergy,Speed,DetectRange,BreedEnergy,BabyEnergy,AttentionSpan,Desirability,DesirabilityThreshold,Lifespan,Age,COD
1,12.59643,0.0869245,55.527145,44.0,15.2456255,500.0,67.292175,1.3196481,12983,169,Starvation
6,24.929964,0.3601474,38.99498,14.905226,13.632088,500.0,19.137875,4.3689694,2218,74,Starvation
5,30.016817,0.42094344,40.30336,13.622844,13.362273,500.0,17.202093,5.1630163,2875,45,Starvation
4,35.536373,0.37324947,44.89891,20.987898,14.911981,500.0,18.260178,4.1068573,3289,147,Starvation
7,28.544067,0.35585994,44.66941,17.12139,13.924805,500.0,19.955502,4.3584476,2735,387,Starvation
8,46.19738,0.39116666,47.415817,24.37847,23.471455,500.0,17.62076,3.7258928,3504,305,Starvation
1,143.01036,0.044890348,11.876284,46.0,15.57805,500.0,48.24162,6.9345837,17597,1077,Starvation
9,19.111015,0.3869697,41.236748,12.417428,9.962089,500.0,17.142586,4.965379,2477,256,Starvation
1,133.01628,0.41425613,21.75371,63.0,36.784275,500.0,10.009754,4.78827,5758,1219,Old Age
4,65.608635,0.36817065,49.81376,56.714405,34.828026,500.0,54.137165,6.508554,8173,885,Starvation
8,28.042156,0.33649957,40.29091,18.217798,12.793383,500.0,16.071453,4.894963,2749,671,Starvation
3,40.634125,0.09009152,24.708841,39.674866,19.643251,500.0,41.11285,4.872349,14253,1010,Starvation
3,40.634125,0.10571895,23.366278,42.679092,20.501802,500.0,41.09549,5.1721964,13522,1010,Starvation
7,29.16453,0.3712271,38.82247,18.646112,14.117351,500.0,16.090937,4.754389,2502,948,Starvation
2,53.57805,0.13528864,29.9618,42.393997,26.0805,500.0,48.96536,3.3937771,10423,1073,Starvation
8,26.762882,0.40198582,46.281013,16.508308,14.513929,500.0,19.246624,4.624015,2771,905,Starvation
9,20.588478,0.36778054,47.8086,13.42901,11.442967,500.0,18.924118,4.977633,2748,123,Starvation
9,31.723347,0.33907434,38.75234,23.776329,17.191921,500.0,16.617992,3.9129024,2950,891,Starvation
8,32.854767,0.3565774,47.558582,24.746632,14.588478,500.0,21.13697,4.2020273,3320,1334,Starvation
9,27.699493,0.32638013,44.94161,22.329216,12.525678,500.0,20.116335,4.655819,2970,371,Starvation
14,57.56031,0.3474914,34.923855,53.115223,31.169205,500.0,46.649628,4.953663,5145,353,Starvation
9,29.116264,0.37960675,48.927933,19.422129,13.604865,500.0,20.939709,4.8208113,3549,675,Starvation
10,61.209476,0.38761044,37.402786,74.5332,31.972769,500.0,56.82699,6.4332323,6604,1405,Starvation
11,50.448395,0.33553782,37.964714,49.678577,27.219864,500.0,40.30724,4.929753,4612,1348,Starvation
13,60.23053,0.44882873,42.4884,55.862343,32.72765,500.0,65.4841,6.476524,6156,368,Starvation
8,36.10537,0.39944744,46.524113,22.689657,17.159153,500.0,18.399536,4.159542,2731,2874,Old Age
3,51.136574,0.14889787,35.334354,42.06507,27.299068,500.0,41.60629,3.5822985,10192,2550,Starvation
16,60.24974,0.4094604,39.23335,53.049583,29.910347,500.0,63.318825,5.2813725,6107,474,Starvation
8,19.924805,0.4102881,39.35095,10.911614,9.36747,500.0,17.199053,4.725733,2384,3409,Starvation
8,35.018642,0.42438492,38.050293,17.825367,17.554996,500.0,17.826273,3.5854492,3011,2334,Starvation
5,43.22913,0.33434606,45.59565,29.209435,18.929964,500.0,18.435362,3.7562506,3535,3692,Starvation
12,63.623497,0.38418055,39.982998,73.49362,29.320627,500.0,61.19192,7.8081346,6782,2192,Old Age
19,57.469234,0.4505328,44.392574,54.82131,27.031698,500.0,68.11708,5.8649297,7003,514,Starvation
14,54.206413,0.4071642,41.45714,54.331528,26.018946,500.0,52.515835,4.8902164,5443,724,Starvation
8,41.110527,0.3271787,40.399784,24.817945,20.457212,500.0,18.063427,3.217837,3192,2804,Starvation
10,39.835793,0.3925767,54.93469,71.9456,21.022337,500.0,38.051674,6.682375,8354,2399,Starvation
13,61.432083,0.46581358,49.64226,60.946545,31.341417,500.0,58.116356,7.6230993,7061,2416,Starvation
1,50.58775,0.3240107,62.475483,56.0,45.812912,500.0,14.82085,0.36506188,6383,4443,Starvation
4,47.28941,0.27427945,45.51745,55.33553,25.38146,500.0,37.25177,5.2215457,10201,3432,Starvation
13,51.51626,0.37527418,40.390915,44.94106,25.587542,500.0,43.6302,4.513741,4551,2590,Starvation
17,61.009212,0.39031202,39.376656,69.75524,32.0798,500.0,73.63977,6.937074,5959,893,Starvation
3,44.185852,0.4191757,61.048668,68.38071,21.20891,500.0,20.897404,6.248871,11412,4225,Starvation
12,49.685352,0.41020575,39.296764,51.30328,22.759459,500.0,59.33895,6.0615306,5807,2694,Starvation
2,53.57805,0.14360926,34.929054,37.778183,25.056076,500.0,42.68941,4.0633235,11794,4380,Starvation
6,55.93921,0.36865494,52.646896,66.779144,26.319185,500.0,51.972336,6.6147394,8072,2846,Starvation
11,47.546177,0.41814414,42.9105,37.517292,20.95343,500.0,45.47229,5.351835,4353,2877,Starvation
12,57.667694,0.4409911,44.457794,45.250923,28.78631,500.0,36.677525,4.35077,4485,1870,Starvation
9,60.719933,0.47926968,45.013924,70.12045,29.62513,500.0,55.118584,6.782243,6250,2893,Starvation
12,62.491123,0.41017115,37.709076,75.706085,29.335693,500.0,59.431446,6.2568293,7421,3003,Starvation
20,59.70481,0.42210668,38.218098,66.597725,32.645237,500.0,73.774536,6.516639,7400,798,Starvation
10,35.61888,0.40068793,43.729446,24.324812,17.417604,500.0,22.058184,3.691661,3279,2810,Starvation
1,174.18945,0.32778546,78.11465,80.0,6.7306533,500.0,3.8544137,7.213127,11173,4945,Starvation
10,49.189133,0.3283081,40.6918,47.429413,25.269838,500.0,37.79804,5.093661,4593,1254,Starvation
20,59.375206,0.5099558,39.22289,64.82909,32.480167,500.0,68.34562,6.5811324,7774,1293,Starvation
17,59.978065,0.392753,44.98812,69.35703,30.336565,500.0,59.013042,7.094735,6452,863,Starvation
21,67.10069,0.406738,38.768166,60.566647,30.48817,500.0,78.277916,7.1329,7024,490,Starvation
1,26.138374,0.43958738,40.751335,6.0,6.0,500.0,17.022305,5.6123376,1599,5230,Starvation
8,27.750057,0.35596818,41.32873,16.463015,13.111016,500.0,18.354742,4.3207097,3222,4689,Starvation
21,59.666664,0.4233405,36.46311,65.05018,29.967995,500.0,81.43529,7.534412,5880,998,Starvation
9,29.102407,0.34309965,51.261375,22.741379,13.165929,500.0,21.580675,4.1468973,2975,3656,Starvation
18,57.33861,0.43572447,44.67098,62.270737,28.05785,500.0,69.38011,6.675226,6629,1884,Starvation
10,61.2559,0.3566384,40.078323,63.929802,29.99118,500.0,67.42223,6.8649406,6612,4354,Starvation
9,41.89145,0.3596447,38.10492,32.042347,23.871681,500.0,36.528015,5.378184,5009,1493,Starvation
15,63.322205,0.42935517,47.161533,55.793564,31.028143,500.0,55.25827,5.6100307,6754,899,Starvation
12,61.812668,0.41708905,37.614326,69.12341,29.847826,500.0,65.25733,6.911157,6351,4092,Starvation
20,62.869324,0.40401816,40.085876,67.10564,29.416006,500.0,71.86595,7.085404,6854,1381,Starvation
6,42.94678,0.37483105,45.45174,27.794636,22.052143,500.0,14.9962635,3.591342,3492,3841,Starvation
7,26.994362,0.41531318,43.11619,12.838077,12.838077,500.0,17.035015,4.5236845,2580,4981,Starvation
15,56.767487,0.38024616,37.166462,58.7852,28.531424,500.0,58.519306,5.606735,5773,1398,Starvation
8,33.047314,0.31583863,40.035248,24.824158,16.269451,500.0,18.046675,4.5423584,3072,4175,Starvation
29,65.13637,0.36348832,39.065586,63.919716,32.89473,500.0,81.28799,7.141759,5835,431,Starvation
10,62.81835,0.4368529,38.768635,63.8497,32.15665,500.0,55.443295,6.1428514,6029,4106,Starvation
14,54.319466,0.37078172,38.642925,54.109184,26.66216,500.0,53.67463,5.349773,5465,2704,Starvation
17,58.135437,0.36133257,44.304455,54.745476,30.083048,500.0,60.948215,6.7810073,6963,842,Starvation
3,56.142334,0.38742328,45.49276,34.500412,29.536373,500.0,17.775269,2.817222,4301,5562,Starvation
14,61.477097,0.4421016,41.771305,60.038548,27.93189,500.0,70.32984,6.7306156,7374,2957,Old Age
12,67.46123,0.4357829,43.315548,63.325626,32.815807,500.0,60.191944,7.237971,7542,4313,Starvation
17,63.416756,0.40985078,41.365314,70.96422,30.946987,500.0,68.32652,7.0127964,8011,1943,Starvation
6,28.274254,0.40228644,42.35141,16.8091,14.527787,500.0,16.522928,4.9227953,3153,5785,Starvation
21,60.47599,0.4012821,42.25433,59.49623,30.798372,500.0,73.179756,7.1068487,7531,397,Starvation
16,62.274742,0.40417883,44.092922,64.28776,29.88697,500.0,68.46711,6.5914087,7610,3574,Starvation
16,59.350594,0.4093296,42.980076,53.619366,30.56596,500.0,47.567753,6.335257,5797,2736,Old Age
16,63.890728,0.40934405,46.63274,76.147545,30.373,500.0,56.742836,7.194301,7309,1848,Starvation
27,65.31003,0.3999456,45.863213,64.93568,35.015045,500.0,82.23632,7.2663302,5975,1338,Starvation
11,41.434147,0.35619262,47.47513,37.186623,23.286238,500.0,48.394558,6.4211435,4077,4754,Starvation
14,61.71167,0.38332728,39.004295,63.880756,28.006817,500.0,68.510864,6.2339153,7229,1758,Starvation
9,62.269432,0.40263072,39.78495,64.29424,28.731922,500.0,65.91964,6.7169385,6458,5986,Starvation
20,62.20363,0.36271286,40.67922,59.69783,32.40451,500.0,77.699814,7.6254864,6347,2473,Starvation
13,59.326874,0.39851972,39.162094,65.65846,30.684685,500.0,68.97638,6.4922276,7028,2250,Starvation
20,55.75711,0.37204903,37.03259,59.45212,29.529001,500.0,75.565636,7.282117,6842,2947,Starvation
9,42.40142,0.37568596,47.2406,25.533731,21.030401,500.0,19.406137,3.4964097,3469,6073,Starvation
17,60.309036,0.42001912,42.195972,56.861977,28.706646,500.0,68.615585,5.9809117,7039,3391,Starvation
15,63.985012,0.4316657,41.97963,58.9869,31.630873,500.0,53.58082,5.9293365,5670,4723,Starvation
13,63.565376,0.3957916,39.3144,66.15709,31.433949,500.0,55.28953,6.664337,6823,4630,Starvation
12,61.617897,0.40540037,37.349888,72.082825,31.257328,500.0,62.026108,7.582804,7114,5173,Starvation
16,59.37611,0.39077717,41.770546,59.929714,32.319828,500.0,65.22011,7.222464,6437,2229,Starvation
14,53.65119,0.42026353,39.552116,55.952538,29.574295,500.0,49.33792,7.0896897,5065,2583,Starvation
14,58.73519,0.39627218,42.431618,63.010212,29.472412,500.0,67.63845,7.8560123,6683,4418,Old Age
12,60.966187,0.44416925,44.20906,57.821217,28.61887,500.0,61.556725,5.7038817,6164,4592,Starvation
22,62.28043,0.38250765,41.550797,66.167244,32.33211,500.0,86.58032,6.4238687,6271,2374,Starvation
12,49.479313,0.35466054,40.126987,62.901237,26.291193,500.0,51.002895,6.134956,6017,4511,Starvation
10,48.08162,0.438781,48.714508,53.37072,23.644644,500.0,22.255642,4.352575,6823,5639,Old Age
22,62.347824,0.359886,38.75226,59.65331,29.119055,500.0,71.25373,6.8872538,6674,1299,Starvation
11,57.204945,0.43467286,42.534004,69.979485,28.40921,500.0,64.06302,6.451516,6977,5228,Starvation
23,59.135475,0.45133007,40.218243,72.09055,31.67984,500.0,77.16137,6.4121027,7354,1723,Starvation
20,61.70823,0.409639,43.15863,72.03345,30.3643,500.0,74.53992,6.734581,6605,886,Starvation
18,60.69867,0.41413257,40.065445,59.645187,28.427555,500.0,67.504715,6.7906375,6160,4165,Starvation
7,63.345993,0.4476204,39.81812,67.4167,28.58867,500.0,56.353985,6.544687,7400,7215,Starvation
8,60.709396,0.44826144,46.82086,66.507225,31.515703,500.0,63.764584,7.860715,7205,6878,Starvation
24,61.847958,0.3375694,41.720642,56.99101,28.535946,500.0,76.94531,6.8210874,6481,2693,Starvation
22,63.98705,0.37081903,42.62052,59.587257,33.327816,500.0,74.945114,6.2903295,6308,1833,Starvation
10,58.74759,0.4218035,42.852856,61.039986,32.09809,500.0,58.817936,6.669072,7217,6890,Starvation
15,58.308113,0.38171226,40.893044,60.86508,29.825453,500.0,67.39831,6.565995,7515,1315,Starvation
13,61.54773,0.42011482,41.43129,64.976326,27.81938,500.0,59.270084,7.38812,7087,6051,Starvation
23,66.87779,0.3654988,43.27516,62.73829,32.74686,500.0,66.65278,6.5739155,5977,953,Starvation
14,62.598747,0.42462045,47.197624,67.7787,29.474022,500.0,65.78242,8.170581,7346,6338,Starvation
11,62.548378,0.44421768,47.143063,58.692997,29.09462,500.0,64.1217,7.5561247,6762,6902,Starvation
