Generation,StartingEnergy,Speed,DetectRange,BreedEnergy,BabyEnergy,AttentionSpan,Desirability,DesirabilityThreshold,Lifespan,Age,BirthTime,COD
3,35.818703,0.39326862,75.98799,22.461502,19.259048,500.0,81.05159,3.37109,6924,167,3386,Starvation
6,24.89584,0.32454866,70.70508,27.287622,9.850007,500.0,48.36422,6.9071507,4861,303,3566,Starvation
4,24.487087,0.17908375,63.090435,24.471495,9.655562,500.0,69.425255,7.535894,11620,150,3772,Starvation
3,21.452156,0.15556024,74.93051,22.518421,12.336925,500.0,76.61387,7.9606752,12611,343,3594,Starvation
10,44.331783,0.47327328,52.965088,21.53891,21.53891,500.0,110.11979,3.7655132,6415,49,3951,Starvation
7,35.82579,0.4151512,43.35045,29.367132,23.265123,500.0,90.815315,4.571915,9270,447,3688,Starvation
3,24.968864,0.30704203,62.798786,33.345722,15.528923,500.0,59.594215,5.9549356,6652,691,3473,Starvation
8,36.0108,0.39905438,69.20387,39.84381,14.353554,500.0,88.01855,4.451754,8219,431,3790,Starvation
7,20.927027,0.30881026,71.29622,37.15527,10.303104,500.0,59.10426,7.0055976,6697,461,3806,Starvation
7,22.668709,0.38472033,67.07094,24.57353,11.026118,500.0,64.50311,5.114108,5873,728,3665,Starvation
5,32.08863,0.37244737,64.95662,34.28235,12.745676,500.0,82.46842,5.7713165,7136,935,3474,Starvation
9,32.84429,0.29357365,62.752407,29.274044,15.6377735,500.0,96.471924,7.086081,7417,330,4150,Starvation
10,33.812336,0.37402898,63.787586,33.351406,18.102657,500.0,96.08562,4.4532337,7866,159,4339,Starvation
10,42.773754,0.27854466,44.167084,34.785355,17.928312,500.0,88.523056,4.2314987,8852,571,3956,Starvation
11,39.467224,0.30879715,37.14586,24.222805,14.8270855,500.0,116.2449,4.7679896,5486,600,3996,Starvation
5,27.903381,0.25303733,64.64437,29.734793,12.601245,500.0,87.47636,5.9412346,8842,781,3849,Starvation
11,41.53539,0.35618985,47.247498,31.510536,24.022682,500.0,86.894066,2.933999,6759,686,3996,Starvation
9,25.430573,0.30193558,64.2589,37.344723,12.880415,500.0,89.3785,4.1932707,7438,877,3864,Starvation
2,31.633453,0.2860062,74.98742,30.522078,12.150164,500.0,54.198135,6.3670044,4888,2082,2690,Starvation
8,32.920685,0.23861623,45.76303,22.398163,16.876034,500.0,88.72031,6.7238665,9185,906,3879,Starvation
13,30.737743,0.33466312,41.119743,21.406458,12.640869,500.0,96.753265,7.170877,4357,182,4613,Starvation
10,37.942696,0.37741938,46.623154,19.419104,18.69558,500.0,73.88601,5.154955,9863,694,4114,Starvation
10,29.700115,0.3442792,70.80763,26.192722,16.063826,500.0,106.45836,8.526075,6781,317,4571,Starvation
6,21.379131,0.306386,50.701084,36.828426,11.07702,500.0,90.431816,6.9630885,10160,1358,3595,Starvation
16,29.625341,0.36242655,47.750526,29.233881,17.452995,500.0,152.11403,5.7089434,3539,123,4854,Starvation
10,44.066658,0.44279987,38.20395,25.677721,20.807903,500.0,97.4864,3.1687016,5940,568,4474,Starvation
13,35.5527,0.29317665,45.354633,25.236961,14.399311,500.0,72.35593,4.753016,4508,213,4878,Starvation
16,31.835812,0.23186472,49.06301,25.31872,16.895329,500.0,141.92587,5.760623,4898,151,4983,Starvation
14,27.796558,0.36232954,48.989616,23.637867,12.025177,500.0,137.5152,6.543454,5958,558,4653,Starvation
13,25.32022,0.5044628,45.384914,30.156809,10.599696,500.0,110.2086,5.99827,6682,255,4969,Starvation
12,32.92974,0.41981655,46.057426,22.799255,14.673917,500.0,102.13895,5.598745,4793,804,4430,Starvation
11,43.306183,0.50164074,51.378704,21.985481,21.985481,500.0,85.750534,4.759449,9049,1245,3994,Starvation
14,28.608767,0.31735915,40.801964,29.936012,15.427217,500.0,132.52338,6.5248246,6979,479,4762,Starvation
17,26.524244,0.34789124,43.910286,21.361282,13.070622,500.0,82.91816,6.246989,5023,386,4866,Starvation
13,41.86456,0.35840383,50.823605,32.31915,24.910255,500.0,74.83354,3.5737207,6663,671,4636,Starvation
15,26.424488,0.25749457,38.81698,29.460588,13.443742,500.0,104.088806,5.625091,4200,266,5047,Starvation
17,27.893526,0.4189534,42.85044,23.552666,14.836621,500.0,123.786865,6.191869,4042,280,5040,Starvation
13,27.492619,0.3762698,63.58225,31.695656,16.840363,500.0,86.50737,4.8536816,7375,276,5056,Starvation
9,31.229588,0.29645824,48.166794,29.333881,16.432346,500.0,91.756195,4.206815,6537,1149,4189,Starvation
7,34.07702,0.31010604,47.623108,29.832497,21.707094,500.0,78.32161,6.737088,8612,1408,3941,Starvation
6,28.2746,0.4294309,57.40473,32.807,10.646305,500.0,76.825294,5.1781373,7210,1715,3683,Starvation
16,32.970024,0.36795524,60.57793,28.388292,14.499067,500.0,84.031334,5.043565,6999,686,4746,Starvation
8,38.794044,0.26799715,45.769264,25.239748,18.897486,500.0,80.328735,6.2761908,7614,1345,4090,Old Age
12,43.05214,0.41053566,49.96102,27.192617,17.841877,500.0,90.92035,2.814323,6883,1397,4039,Starvation
9,35.587986,0.40351266,48.41758,33.445114,13.7563305,500.0,99.74068,5.6349015,9240,1332,4105,Starvation
15,40.014713,0.30213135,40.84745,20.324139,16.408596,500.0,89.51642,5.959161,5309,488,4950,Starvation
11,32.61593,0.44555202,62.323917,29.711327,13.719427,500.0,85.985596,5.2497015,8364,1666,3988,Starvation
15,41.557476,0.32334048,55.616257,27.570099,23.235308,500.0,93.77309,3.15646,6489,202,5528,Starvation
17,37.370342,0.40534398,51.263626,26.17771,17.455118,500.0,105.418076,4.875861,7332,276,5458,Starvation
9,39.102325,0.43539453,48.644127,28.059494,21.06666,500.0,95.43368,3.1488888,6726,1904,3835,Starvation
7,23.895721,0.2947726,55.833862,36.968872,13.820713,500.0,78.29476,5.5102396,8358,1826,3940,Starvation
12,35.486702,0.36951786,65.512054,35.50262,15.835312,500.0,70.31847,4.387377,7750,1790,4041,Starvation
